,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
34,-5913.221050884849,-6042.190616391971,-5957.745725839821,-110331.63044829732,-106447.880738721,-103039.53028196459,-77706.62190993094,-5935.975126740352,-5892.076300630129,-5930.320135393159,-6001.801014161231,-117047.30147687215,-115353.19570937107,-111889.12235368758,-115752.88960372086,0.032343750000000004
35,-5851.7314018883,-6045.945709460462,-5949.788504813731,-110363.07935274595,-106416.11890985,-103049.20858731373,-77708.20888378727,-5999.007046104318,-5976.409432460003,-6040.156607646538,-6156.02805090285,-117018.73594745826,-115566.00666833004,-111865.02717316475,-115805.39385144638,0.032343750000000004
36,-5882.420347025436,-6036.356811089136,-5949.296766435715,-110347.07550371594,-106439.58824152806,-103043.8218169,-77707.69479366479,-5933.181158683438,-5890.265809329249,-5930.253080159793,-6000.035226349262,-117049.64841003995,-115343.91973542211,-111892.78803977824,-115754.58833629946,0.032343750000000004
37,-5877.681777200911,-6046.638613538577,-5953.968281026874,-110344.25918391458,-106421.19275584136,-103041.58664245447,-77703.51501745165,-5998.336493770658,-5977.683481893955,-6037.832026223186,-6155.603367758199,-117014.73498520078,-115569.24767127605,-111860.69093474043,-115801.45994442224,0.032343750000000004
38,-5854.413611222936,-6034.591023277167,-5944.3793826555475,-110367.86262605937,-106433.1732908694,-103052.53899723757,-77711.80751464458,-5932.398847627503,-5888.88000117302,-5932.443551116414,-6001.264572294303,-117049.8272239956,-115339.89642142016,-111893.72681304537,-115755.68357177777,0.033171875
39,-5911.477614817335,-6054.215854908926,-5964.98769104334,-110331.80926225297,-106433.8661949475,-103040.33494476497,-77706.08546806402,-6003.455043250924,-5982.332644740659,-6039.24018612387,-6156.363327069679,-117019.65236898094,-115571.1252178103,-111864.40132432,-115802.75634560066,0.033171875
40,-5822.987058518775,-6028.600755763145,-5935.371629640059,-110381.36307971038,-106422.55621225313,-103055.10944784993,-77711.58399720001,-5933.941117994919,-5891.830431441121,-5939.0373157307295,-6009.020627620295,-117048.68728502838,-115345.48435753398,-111893.659757812,-115758.99162995716,0.033171875
41,-5936.578623840645,-6055.780477020798,-5969.860371334597,-110315.26897135604,-106441.66695376241,-103034.3223255065,-77703.80559012957,-5997.978865859373,-5977.996406316329,-6030.031267408284,-6145.589786242222,-117018.49007826926,-115558.94351708217,-111862.9037574415,-115796.07317400852,0.033171875
42,-5795.606171561024,-6024.063351638717,-5927.861443503076,-110394.08122230545,-106412.5202789927,-103058.19398858477,-77710.77933439963,-5936.533920351734,-5896.3678355655475,-5947.173350712461,-6019.794168447754,-117045.89331697147,-115356.99550592847,-111891.67045255548,-115761.98676371417,0.033171875
43,-5962.394888686525,-6058.440334610979,-5975.425955703969,-110302.52847701652,-106449.71358176632,-103030.54488069355,-77702.59859592898,-5995.475470480379,-5972.7884498582425,-6021.04586613725,-6132.715181435965,-117022.04400563765,-115542.44792967415,-111864.3566208311,-115790.01585126112,0.0325859375
44,-5773.544999783636,-6020.844700437153,-5921.6476585445,-110404.34067301043,-106402.59610445454,-103059.98212814119,-77710.0417268326,-5944.781714055743,-5904.883850203019,-5960.539693896734,-6036.580328533689,-117044.48515707078,-115376.86620674924,-111889.63644381004,-115767.28412715008,0.0325859375
45,-5978.331682483159,-6056.562788076733,-5976.163563270994,-110289.09507859887,-106453.28986087917,-103024.24168875715,-77699.24583426068,-5986.244200020337,-5961.545522397223,-6006.383121774569,-6113.157405037571,-117021.90989517092,-115516.519906106,-111863.03786790824,-115779.6222900894,0.0325859375
46,-5761.85503743351,-6022.5657847602115,-5921.334734122126,-110414.17544057078,-106398.79630789714,-103065.05597413254,-77713.17097105634,-5951.174312969961,-5914.942135207908,-5974.621292903578,-6055.892235743075,-117040.12656690199,-115401.5425326279,-111886.41779260848,-115772.96147024173,0.0325859375
47,-5989.865182622098,-6057.099229943661,-5978.465792949891,-110285.31763378593,-106458.54252082617,-103024.21933701269,-77699.33524123851,-5982.08677555165,-5955.667013605477,-5997.174203058983,-6098.472308930434,-117028.83893595207,-115493.76583025049,-111869.56457728919,-115776.0236592321,0.0325859375
48,-5755.261272819194,-6022.990467904862,-5920.150091665994,-110418.35521678391,-106393.49894446123,-103065.81593344403,-77712.05338383358,-5959.824438074164,-5924.866309746064,-5988.322912254681,-6074.600645852166,-117036.10325290004,-115426.66589339566,-111881.79098150623,-115777.23065343269,0.03
49,-5993.352054757125,-6056.808657265742,-5978.935179583452,-110285.96583437514,-106461.69411679437,-103024.35344747943,-77700.83280811702,-5976.163563270994,-5945.340507667125,-5984.679577908466,-6079.048642998772,-117034.53863078817,-115464.44034152513,-111873.38672559104,-115768.69228705077,0.03
0,-5755.99888038622,-6022.543433015756,-5919.367780610059,-110413.4601847482,-106390.10147930402,-103062.15024735335,-77710.0864303215,-5971.223827746371,-5939.2161296863715,-6004.99731361834,-6097.287666474303,-117034.20335462134,-115457.71246644408,-111879.64521403852,-115784.3832116584,0.03
1,-5986.601827931622,-6053.478247341901,-5975.761231870799,-110288.64804370976,-106461.38119237199,-103025.13575853537,-77700.72104939474,-5963.467772420379,-5931.46007436038,-5968.049880033717,-6056.808657265742,-117034.58333427708,-115431.8962015982,-111873.6549465245,-115758.63400204587,0.03
2,-5768.337043325549,-6027.282002840281,-5924.620440557056,-110409.92860912427,-106392.7613368942,-103063.15607585384,-77710.2428925327,-5981.349167984626,-5953.342432182126,-6020.330610314681,-6119.035913829317,-117031.23057260878,-115488.46846681458,-111876.96300470388,-115791.15579022835,0.03
3,-5971.581455657656,-6049.253767639848,-5970.665034134989,-110298.14753510327,-106457.76020977023,-103027.97443008119,-77700.38577322791,-5957.4104496729915,-5921.893527733509,-5957.969243284374,-6040.29071811327,-117040.61830528002,-115403.95652102906,-111879.01936519377,-115754.20835664372,0.032
4,-5785.771404000689,-6030.768874975309,-5929.381362126036,-110400.09384156392,-106395.22002878429,-103059.02100312962,-77709.14765705439,-5990.893362867041,-5964.093621265129,-6032.24409010936,-6136.179701826537,-117027.90016268495,-115514.37413863828,-111872.3585453461,-115794.329737941,0.032
