,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
42,-5899.362969322559,-5930.7001150488995,-6016.2849445682705,-5948.6038623576005,-109413.62195177341,-105994.16267802271,-102320.72053202636,-77612.02932739609,-5992.4579849789125,-5908.795405482699,-6016.039075379262,-6145.187454842026,-115160.16604425503,-112224.73379668401,-110383.64295764483,-111824.41405348945
43,-6051.7348112743875,-6095.141899006593,-6045.699840271454,-5993.128537312572,-109318.91761051628,-106031.53479475199,-102290.03158688922,-77601.68046971328,-6040.111904157628,-5974.174258014472,-6073.371299907124,-6237.94719433155,-115136.92023002151,-112384.95110093965,-110357.62552709885,-111844.17299558796
44,-5883.672044714934,-5914.070417174151,-6017.536642257767,-5947.419219901469,-109424.99898970115,-105989.58057040938,-102324.52032858376,-77615.20327510874,-5999.655246693522,-5918.4960625763015,-6028.5560522742335,-6161.191303872026,-115159.76371285484,-112246.77261671695,-110382.79359135553,-111831.92423962645
45,-6066.017575981328,-6110.810471869764,-6048.940843217474,-5998.627066448577,-109314.2013924362,-106039.82729194491,-102290.07629037813,-77603.4686092697,-6036.557976789234,-5970.217999245882,-6064.989395736385,-6224.826720336285,-115143.64810510256,-112368.14258910927,-110363.03464925702,-111842.56366998717
46,-5870.775088164221,-5900.189983867405,-6016.374351546091,-5944.446437888913,-109430.58692581499,-105982.85269532833,-102325.21323266187,-77613.25867334112,-6007.590115975156,-5930.118969693061,-6042.168264647516,-6179.6985482810205,-115158.28849772079,-112273.23708215203,-110381.36307971038,-111840.03792286372
47,-6071.91843651753,-6116.35370449468,-6048.002069950351,-5998.962342615408,-109311.11685170137,-106042.17422511271,-102288.06463337716,-77601.90398715783,-6028.6678109965105,-5958.975071784863,-6050.930148473996,-6204.196060204036,-115146.64323885957,-112341.72282716309,-110363.86166380187,-111835.3440565281
48,-5869.031652096707,-5897.708940232867,-6019.838871936664,-5946.502798378801,-109434.29731539456,-105981.39983193873,-102326.30846814018,-77614.95740591972,-6018.453063780435,-5942.635946588033,-6057.188636921482,-6199.122214212682,-115157.70735236495,-112301.91437028818,-110379.41847794277,-111848.17395784546
49,-6072.611340595644,-6117.359532995169,-6048.694974028465,-6000.4375577494575,-109312.86028776888,-106046.1304838813,-102288.77988919972,-77604.3626790479,-6024.868014439108,-5952.783638570743,-6042.190616391971,-6189.108632696704,-115154.86868081913,-112319.6169518968,-110370.29896620501,-111833.89119313851
0,-5871.870323642532,-5901.575792023635,-6022.409322549024,-5949.140304224527,-109430.60927755944,-105981.22101798309,-102324.67679079495,-77614.2197983527,-6026.767912717809,-5956.158751983494,-6071.225532439415,-6219.663467367109,-115154.53340465229,-112333.25151601453,-110376.4009924413,-111855.79590270472
1,-6065.794058536775,-6109.759939880364,-6047.666793783521,-5999.007046104318,-109319.81168029449,-106046.21989085912,-102291.86442993456,-77604.89912091484,-6016.419055035002,-5942.948871010408,-6030.366543575114,-6171.495458065922,-115158.95905005444,-112294.38183240675,-110373.53996915102,-111829.51025122528
2,-5884.946094148886,-5914.651562529989,-6027.706685984932,-5954.772943827265,-109427.0329984466,-105983.43384068417,-102324.22975590585,-77613.75041171914,-6038.323764601203,-5969.7933161012315,-6085.6647593575435,-6239.198892021048,-115154.22048022992,-112363.85105417384,-110374.5010941626,-111863.46255105289
3,-6052.874750241608,-6095.007788539861,-6045.498674571357,-5995.52017396929,-109329.93702053274,-106043.04594314647,-102294.01019740227,-77606.10611511543,-6013.960363144918,-5935.639850573522,-6023.392799305057,-6157.324452081258,-115167.47506469191,-112271.91832922916,-110379.73140236514,-111828.3479605136
