1,2,3,4,5,6,7,8,9,10
-115.15619659423828,-134.28929138183594,-113.63627624511719,-140.19015502929688,-140.01133728027344,-133.1269989013672,-136.25624084472656,-125.79562377929688,-0.115478515625,1665550536.3294032
-114.79856872558594,-134.0210723876953,-113.0998306274414,-139.9219207763672,-139.65370178222656,-132.85877990722656,-135.54098510742188,-125.52740478515625,-0.115234375,1665550536.3294206
-114.70915985107422,-133.75283813476562,-113.01042175292969,-139.4748992919922,-139.1172637939453,-132.4117431640625,-134.91513061523438,-124.99095916748047,-0.115234375,1665550536.353134
-114.6197509765625,-133.30581665039062,-112.83161163330078,-139.38548278808594,-138.7596435546875,-131.785888671875,-134.91513061523438,-124.45452117919922,-0.11474609375,1665550536.3782308
-114.53034210205078,-132.94818115234375,-112.74220275878906,-139.1172637939453,-138.4914093017578,-131.60707092285156,-134.55751037597656,-124.45452117919922,-0.11572265625,1665550536.403137
-114.17271423339844,-132.67996215820312,-112.20576477050781,-138.7596435546875,-137.95497131347656,-131.60707092285156,-134.1104736328125,-124.18629455566406,-0.116455078125,1665550536.4068851
-113.90449523925781,-132.32232666015625,-112.02694702148438,-138.4914093017578,-137.4185333251953,-131.0706329345703,-133.57403564453125,-124.00748443603516,-0.115966796875,1665550536.433193
-113.72567749023438,-132.23292541503906,-111.84813690185547,-138.2231903076172,-137.4185333251953,-130.89181518554688,-133.21640014648438,-123.73926544189453,-0.11474609375,1665550536.4581172
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.4856591
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510719
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510735
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107412
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107555
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107615
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510768
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107737
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107787
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510785
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107913
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5107968
