Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Color Code,Frequency
2022-02-27 14:43:30.808,16305.686987124323,6403.6406759787415,32940.07872820839,30831.683377228183,64913.39980523584,30749.384254143748,10359.452409678986,18862.659497578086,,7.0
2022-02-27 14:41:43.066,12761.035592679453,6789.767061444171,35733.26447406584,34316.81207618857,61295.23352327747,34965.035017136935,9832.666496356307,17881.507322967926,,6.0
2022-02-27 14:43:47.035,15300.059652335603,6123.573317953744,32212.50709444369,30326.601007771613,63212.9684940539,30353.35604588461,10468.417163898608,18988.164542694634,,14.0
2022-02-27 14:44:35.414,17130.354598802878,5815.275706681694,31226.817515709103,32193.642222123413,64468.6671458086,29652.62885721074,10567.055412179878,19245.701342308683,,20.0
2022-02-27 14:44:34.010,16554.193681978428,5648.464637811737,30767.064484007897,30429.28492179929,63657.00824940304,29604.617310120742,10602.460575397085,19260.319383182454,,20.0
2022-02-27 14:44:03.943,16616.979732153384,6088.928114048018,32089.505444706137,31487.349449080164,64211.935008994944,29795.27769032451,10367.499037682896,18991.98669099649,,18.0
2022-02-27 14:44:26.553,17433.466605361296,5826.898613798454,31188.75249490172,29696.77355250997,63710.92065702924,29632.132307545224,10607.71323534408,19262.196929716694,,11.0
2022-02-27 14:44:37.890,16592.124592319084,5607.359779758427,30742.119937195774,31489.048181658767,64118.39295844948,29594.313155926844,10603.57816261985,19301.33483425794,,20.0
2022-02-27 14:41:42.394,12356.469018038397,6731.317249693543,35519.067706950635,32923.73960301156,60612.745358079126,34675.49051946289,9870.150371807858,17920.466413553528,,6.0
2022-02-27 14:43:26.235,15166.843255381971,6411.061455137904,32894.48116951957,30393.94681381545,65207.10172737858,30640.82183132432,10321.342685382688,18806.064880617247,,8.0
2022-02-27 14:42:12.877,13008.514107288613,6725.774017068627,34283.6420874169,33566.66518052402,60440.59222228435,33959.452385837125,10006.093681585036,18146.44254999668,,16.0
2022-02-27 14:42:16.901,13181.360147161502,6703.601086568962,34138.847486835424,34022.46195345664,60522.77958664651,33697.53464430984,10026.07614112808,18173.44345729869,,16.0
2022-02-27 14:41:40.890,12201.638484196485,6688.647769528362,35582.837233881626,32805.945909732094,60578.63659604033,34593.6160795231,9901.398110556378,17932.536355559394,,6.0
2022-02-27 14:44:51.347,18834.608058286674,5635.992364405676,30565.988190887954,30293.0510393442,62115.4084343205,29517.534913722862,10779.821667649943,19457.104141366977,,6.0
2022-02-27 14:41:25.437,12219.005789638257,6643.586652706463,36223.77350613755,34203.33226958898,61368.94957649107,35068.85887013184,9868.004604340147,17780.790362452313,,14.0
2022-02-27 14:44:50.143,19493.649243551405,5594.932209841277,30482.43737011401,30046.8912776579,57542.91207109834,29470.529195133357,10723.271754178018,19391.94880627976,,6.0
2022-02-27 14:43:31.364,16588.593016695144,6326.147177952192,32918.24107387556,32019.11980141637,65317.98873162136,30706.915939678664,10322.773197027827,18848.42143636005,,7.0
2022-02-27 14:43:33.956,17409.393776582932,6160.699565494009,32517.72016498091,30883.00298249757,64503.13353575868,30578.214595105004,10371.0976685402,18883.11134375469,,7.0
2022-02-27 14:42:39.242,13770.641537981215,6696.157955665345,33418.09313512959,34061.62220974234,60625.93288730776,32538.574342557717,10239.714114631906,18362.15923573485,,11.0
2022-02-27 14:44:14.324,18607.24611368729,5847.484570441791,31568.82155761976,31751.971751686546,64950.05666614255,29719.12529696528,10442.243271141442,19137.764768334004,,16.0
