0,1,2,3,4,5,6,7,8
-115.4244155883789,-134.736328125,-113.8150863647461,-140.4583740234375,-140.27955627441406,-133.57403564453125,-136.43505859375,-126.15325164794922,1665552913.1057303
-115.06678771972656,-134.28929138183594,-113.36804962158203,-140.19015502929688,-139.7431182861328,-133.1269989013672,-135.8986053466797,-125.79562377929688,1665552913.1057465
-114.70915985107422,-133.93165588378906,-113.18923950195312,-140.01133728027344,-139.2066650390625,-132.85877990722656,-135.27276611328125,-125.2591781616211,1665552913.1057615
-114.6197509765625,-133.66343688964844,-113.01042175292969,-139.56430053710938,-138.93844604492188,-132.4117431640625,-135.0939483642578,-124.72274017333984,1665552913.1081755
-114.53034210205078,-133.30581665039062,-112.74220275878906,-139.29608154296875,-138.7596435546875,-131.87530517578125,-134.64691162109375,-124.3651123046875,1665552913.114528
-114.17271423339844,-133.03758239746094,-112.47398376464844,-138.93844604492188,-138.67022705078125,-131.60707092285156,-134.37869262695312,-124.3651123046875,1665552913.1419764
-113.99390411376953,-132.94818115234375,-112.295166015625,-138.67022705078125,-138.2231903076172,-131.51766967773438,-134.0210723876953,-124.18629455566406,1665552913.1672823
-113.90449523925781,-132.67996215820312,-111.93753814697266,-138.31260681152344,-137.59735107421875,-131.16004943847656,-133.3952178955078,-123.82866668701172,1665552913.1944487
-113.45745849609375,-132.14352416992188,-111.84813690185547,-138.1337890625,-137.32913208007812,-130.8024139404297,-133.1269989013672,-123.47103881835938,1665552913.1982033
-113.45745849609375,-132.05410766601562,-111.84813690185547,-137.77615356445312,-137.1503143310547,-130.26597595214844,-132.7693634033203,-123.20281982421875,1665552913.2270477
-113.45745849609375,-131.785888671875,-111.57991027832031,-137.59735107421875,-136.97149658203125,-129.9977569580078,-132.5011444091797,-123.29222869873047,1665552913.2795467
-113.18923950195312,-131.60707092285156,-111.31169128417969,-137.5079345703125,-136.70327758789062,-129.81893920898438,-132.05410766601562,-122.8451919555664,1665552913.307103
-113.0998306274414,-131.33885192871094,-111.13288116455078,-137.1503143310547,-136.25624084472656,-129.81893920898438,-131.785888671875,-122.57697296142578,1665552913.332032
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3597577
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.38451
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3845391
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3845556
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3845668
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3845773
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3845873
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3845975
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3846087
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3846211
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384632
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384642
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384652
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384668
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384682
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3846931
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847017
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847103
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384719
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847277
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847368
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847456
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384756
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847654
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384774
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847828
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3847983
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3848078
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384817
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384827
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3848372
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3848479
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384858
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3848684
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.38488
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3848908
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849008
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849113
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849225
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.384933
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849435
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849542
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849645
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849752
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849866
