0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
103838.5234375,112736.6640625,172624.046875,130249.96875,83909.2578125,113965.6484375,75363.109375,92762.0703125,-0.03271484375,-0.87548828125,-0.378173828125,2.655029058456421,-4.760741710662842,-0.4577636420726776,80.0,6025.0,1.0,1665718939.596069
103775.1328125,112672.2890625,172229.859375,130259.0,83507.375,113562.421875,75347.109375,92768.7734375,-0.02978515625,-0.8720703125,-0.37890625,2.655029058456421,-4.852294445037842,-0.9460448622703552,80.0,6026.0,1.0,1665718939.6104372
103825.1953125,112722.8046875,172015.375,130262.125,83487.078125,113541.59375,75366.953125,92767.609375,-0.02783203125,-0.86669921875,-0.37158203125,2.532958745956421,-4.821776866912842,-1.3732908964157104,80.0,6027.0,1.0,1665718939.6104908
103923.1875,112821.5078125,172444.34375,130264.5390625,83947.96875,114003.5546875,75409.6953125,92768.953125,-0.023681640625,-0.86328125,-0.364990234375,2.349853277206421,-4.882812023162842,-1.7395018339157104,80.0,6028.0,1.0,1665718939.6123111
103876.609375,112774.390625,172669.375,130259.8046875,83988.5625,114043.7890625,75389.84375,92768.59375,-0.020751953125,-0.862060546875,-0.36083984375,2.227782964706421,-4.852294445037842,-2.075195074081421,80.0,6029.0,1.0,1665718939.615466
103768.3359375,112665.671875,172317.75,130240.3125,83570.765625,113625.0078125,75339.6015625,92757.8671875,-0.016845703125,-0.858642578125,-0.357666015625,1.9226073026657104,-4.730224132537842,-2.441406011581421,80.0,6030.0,1.0,1665718939.615498
103779.8671875,112677.0234375,172010.09375,130238.796875,83434.8671875,113489.2890625,75341.8359375,92755.6328125,-0.012451171875,-0.85693359375,-0.3564453125,1.6784666776657104,-4.699706554412842,-2.655029058456421,80.0,6031.0,1.0,1665718939.6173248
103884.5625,112782.796875,172360.65625,130236.3828125,83868.1328125,113923.1796875,75380.6328125,92759.921875,-0.0068359375,-0.854248046875,-0.3544921875,1.4648436307907104,-4.608153820037842,-2.838134527206421,80.0,6032.0,1.0,1665718939.6310709
103863.2890625,112761.15625,172685.203125,130229.046875,84012.1640625,114068.46875,75369.7265625,92756.34375,-0.003173828125,-0.851806640625,-0.3525390625,0.9155272841453552,-4.547118663787842,-2.960204839706421,80.0,6033.0,1.0,1665718939.6342368
103775.84375,112672.109375,172407.15625,130228.0625,83637.1015625,113692.5078125,75340.046875,92753.75,0.0009765625,-0.8505859375,-0.35205078125,0.4577636420726776,-4.455565929412842,-3.082275152206421,80.0,6034.0,1.0,1665718939.6342692
103770.6640625,112667.4609375,172024.046875,130230.65625,83408.1328125,113462.6484375,75341.1171875,92754.6484375,0.007568359375,-0.8525390625,-0.350830078125,0.0,-4.394530773162842,-3.143310308456421,80.0,6035.0,1.0,1665718939.6361005
103880.8984375,112779.21875,172274.734375,130239.5078125,83786.6796875,113841.8203125,75385.8203125,92762.0703125,0.01123046875,-0.849365234375,-0.34912109375,-0.4577636420726776,-4.089354991912842,-3.082275152206421,80.0,6036.0,1.0,1665718939.647318
103889.84375,112787.7109375,172683.421875,130238.4375,84048.734375,114103.9609375,75382.6953125,92762.6015625,0.017822265625,-0.849365234375,-0.3505859375,-1.0375975370407104,-3.845214605331421,-3.082275152206421,80.0,6037.0,1.0,1665718939.6547256
103799.984375,112696.7890625,172494.328125,130237.9921875,83728.2109375,113782.8125,75343.625,92764.0390625,0.019287109375,-0.849853515625,-0.353271484375,-1.3732908964157104,-3.601073980331421,-2.929687261581421,80.0,6038.0,1.0,1665718939.6547604
103771.46875,112668.9765625,172070.796875,130238.5234375,83417.609375,113472.125,75333.3359375,92764.0390625,0.0224609375,-0.849609375,-0.354736328125,-1.9226073026657104,-3.265380620956421,-2.929687261581421,80.0,6039.0,1.0,1665718939.6547809
103855.0625,112753.6484375,172186.3125,130235.6640625,83694.6796875,113749.8203125,75363.203125,92764.5703125,0.025634765625,-0.849365234375,-0.35888671875,-2.288818120956421,-2.838134527206421,-2.899169683456421,80.0,6040.0,1.0,1665718939.6578484
103897.2578125,112795.9375,172645.421875,130239.2421875,84050.96875,114106.640625,75380.6328125,92768.234375,0.02734375,-0.849365234375,-0.361083984375,-2.685546636581421,-2.380370855331421,-2.929687261581421,80.0,6041.0,1.0,1665718939.6579218
103823.5,112721.4609375,172565.75,130242.1875,83811.5390625,113866.6796875,75356.4921875,92771.7265625,0.031005859375,-0.850830078125,-0.362060546875,-2.960204839706421,-1.9531248807907104,-2.777099370956421,80.0,6042.0,1.0,1665718939.667282
103768.9609375,112666.5625,172119.890625,130239.0625,83436.203125,113491.2578125,75338.6171875,92763.3203125,0.03369140625,-0.849853515625,-0.36328125,-3.265380620956421,-1.5563963651657104,-2.685546636581421,80.0,6043.0,1.0,1665718939.674121
103844.9609375,112743.6328125,172106.03125,130240.7578125,83610.1015625,113665.328125,75365.6171875,92763.140625,0.0361328125,-0.8505859375,-0.364990234375,-3.570556402206421,-1.0681151151657104,-2.624511480331421,80.0,6044.0,1.0,1665718939.674152
103910.9375,112809.9765625,172584.796875,130242.3671875,84031.65625,114086.9765625,75389.84375,92762.4296875,0.0390625,-0.85205078125,-0.362060546875,-3.906249761581421,-0.5798339247703552,-2.410888433456421,80.0,6045.0,1.0,1665718939.6847768
103843.4375,112742.0234375,172616.546875,130240.1328125,83883.5078125,113938.5625,75368.8359375,92759.7421875,0.042236328125,-0.8505859375,-0.3671875,-4.028319835662842,-0.1220703050494194,-2.258300542831421,80.0,6046.0,1.0,1665718939.6885293
103779.6015625,112677.203125,172197.578125,130239.953125,83485.6484375,113539.625,75345.859375,92759.2109375,0.043701171875,-0.850830078125,-0.37060546875,-4.302978038787842,0.2441406100988388,-1.9531248807907104,80.0,6047.0,1.0,1665718939.688554
103828.6875,112726.6484375,172068.65625,130236.109375,83543.7578125,113598.0078125,75360.34375,92755.09375,0.046875,-0.850830078125,-0.369384765625,-4.577636241912842,0.6103515028953552,-1.5869139432907104,80.0,6048.0,1.0,1665718939.688564
103913.265625,112812.2109375,172543.671875,130234.5,84002.6875,114058.3671875,75390.6484375,92756.078125,0.048095703125,-0.852294921875,-0.373779296875,-4.760741710662842,0.9765624403953552,-1.2512205839157104,80.0,6049.0,1.0,1665718939.691036
103859.0859375,112757.671875,172703.890625,130234.5,83962.3671875,114017.6875,75372.6796875,92758.578125,0.048583984375,-0.85546875,-0.376953125,-4.791259288787842,1.3732908964157104,-0.8544921278953552,80.0,6050.0,1.0,1665718939.693575
103783.0,112681.046875,172321.140625,130233.4296875,83545.1015625,113599.8828125,75346.6640625,92755.0078125,0.048095703125,-0.854248046875,-0.380615234375,-4.882812023162842,1.5869139432907104,-0.4272460639476776,80.0,6051.0,1.0,1665718939.6972964
103812.0546875,112710.8203125,172084.75,130231.4609375,83485.828125,113541.1484375,75355.421875,92750.984375,0.04638671875,-0.857666015625,-0.3818359375,-4.791259288787842,1.9226073026657104,-0.0610351525247097,80.0,6052.0,1.0,1665718939.711084
103911.8359375,112811.3125,172505.765625,130236.3828125,83946.8046875,114003.2890625,75388.1484375,92757.328125,0.047119140625,-0.858154296875,-0.38671875,-4.882812023162842,2.166747808456421,0.2746581733226776,80.0,6053.0,1.0,1665718939.718534
